https://www.bike-discount.de/en/kalkhoff-entice-7.b-advance-abs-1	Kalkhoff Entice 7.B Advance+ ABS	€4,199.00	aluminium	"27"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-7.b-advance-abs	Kalkhoff Entice 7.B Advance+ ABS	€4,399.00	aluminium	"27"""	urbangreen matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-7.b-move-1	Kalkhoff Entice 7.B Move+	€3,599.00	aluminium	"27"""	diamondblack glossy	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-advance-abs-1	Kalkhoff Entice 5.B Advance+ ABS	€4,199.00	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-advance-abs	Kalkhoff Entice 5.B Advance+ ABS	€3,299.00	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-advance-5	Kalkhoff Entice 5.B Advance+	€3,759.20	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-advance-wave-1	Kalkhoff Entice 5.B Advance+ Wave	€3,399.00	aluminium	"29"""	diamondblack glossy	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-move-2	Kalkhoff Entice 5.B Move+	€2,999.00	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-move-3	Kalkhoff Entice 5.B Move+	€2,999.00	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-move-5	Kalkhoff Entice 5.B Move+	€2,999.00	aluminium	"29"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-move-1	Kalkhoff Entice 5.B Move+	€2,799.00	aluminium	"29"""	stoneblue glossy	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-move-wave-1	Kalkhoff Entice 5.B Move+ Wave	€2,899.00	aluminium	"29"""	stoneblue glossy	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-season-1	Kalkhoff Entice 5.B Season	€2,799.00	aluminium	"29"""	urbangreen matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-season	Kalkhoff Entice 5.B Season	€2,899.00	aluminium	"29"""	urbangreen matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-5.b-season-wave	Kalkhoff Entice 5.B Season Wave	€2,899.00	aluminium	"29"""	urbangreen matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-4	Kalkhoff Entice 3.B Move	€2,299.00	aluminium	"27"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-2	Kalkhoff Entice 3.B Move	€2,199.00	aluminium	"27"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-5	Kalkhoff Entice 3.B Move	€2,399.00	aluminium	"27"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-1	Kalkhoff Entice 3.B Move	€2,299.00	aluminium	"27"""	stoneblue matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-6	Kalkhoff Entice 3.B Move	€2,199.00	aluminium	"27"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-3.b-move-7	Kalkhoff Entice 3.B Move	€2,199.00	aluminium	"27"""	stoneblue matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-1.b-move-2	Kalkhoff Entice 1.B Move	€2,099.00	aluminium	"27.5"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-entice-1.b-move-2	Kalkhoff Entice 1.B Move	€2,099.00	aluminium	"27.5"""	moonstonegrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-image-5.b-excite-abs-1	Kalkhoff Image 5.B Excite+ ABS	€4,299.00	aluminium	"29"""	diamondblack matt	unknown
